Mag Bin,Sector,TIC,Is Real,Comments,Rp,Tc,Depth,Duration,Tau,Rad,Mass,Teff,RA,DEC,Tmag,Vmag,Jmag
12,18,286325665,0,J,29.6678531,1814.643394,0.025885246,6.07178845,0.922586899,1.67636,1.88,7881,44.7492947,62.2869834,11.9891,12.302,11.376
12,18,286411763,0,J,11.22909254,1801.322663,0.006590248,6.488667087,0.983063152,1.25748,1.028,5748,45.5570601,62.01056618,11.3101,11.645,10.627
12,18,286574450,0,J,21.56566229,1814.566502,0.023502165,9.004389464,1.463080198,1.2788399,,6108,45.99081191,62.98529217,11.9496,12.713,11.129
12,18,287149730,0,J,10.55882586,1814.598406,0.014496617,6.521558553,0.75792419,0.79724097,0.92000002,5331,253.5951428,61.89500746,11.7522,12.487,11.019
12,18,287152027,0,J,10.58911024,1814.607128,0.015082073,6.332235831,1.330016601,0.78385597,0.70700002,4503,253.8341028,62.1375624,11.1851,12.179,10.223
12,18,287152097,0,J,16.42709423,1814.588571,0.01323875,6.307464507,0.699665771,1.29791,1.17,6159,253.7021941,61.91742459,11.9941,12.571,11.429
12,18,287152385,0,J,17.06696466,1814.583613,0.0106541,7.156019477,0.715391268,1.50316,1.22,6255,253.8405934,61.06510908,11.665,12.014,11.135
12,18,288535804,0,Variable source,29.24663786,1795.376279,0.036420494,7.072270262,2.51871151,1.39319,1.61,7185.7598,39.00493025,42.82539874,11.0191,11.263,10.596
12,18,289263414,0,J,18.96275625,1791.694987,0.004073084,2.252263328,0.187196497,2.7011399,1.38,6600,24.41516669,72.41216459,11.1097,11.615,10.428
12,18,289268480,0,,11.66769487,1814.145574,0.004680372,6.435760998,0.458266914,1.5504301,1.14,6083,24.46207853,76.76832539,11.664,12.562,10.857
12,18,289571617,0,J,9.800760076,1814.660426,0.015662532,2.132874607,0.854235705,0.71192801,0.912,5302,252.1186156,64.2391407,11.0592,11.472,10.318
12,18,289580229,0,J,13.78379726,1814.603793,0.016365936,8.350622923,3.911790395,0.97950298,1.0880001,5950,252.1197311,60.00326668,11.7876,12.395,11.171
12,18,289580949,0,J,12.33797056,1814.604369,0.010070513,4.725063687,0.499585328,1.1177,1.21,6252,252.4285175,62.41420963,11.8261,12.357,11.278
12,18,292400530,0,Variable source,26.67204577,1808.558837,0.023688337,8.195360587,2.827196822,1.57542,1.5599999,7061.3999,32.10359218,43.90663237,11.0567,11.675,10.628
12,18,292516922,0,Blend,37.62326569,1806.853456,0.024623064,3.266002121,1.512970117,2.1796801,1.09,5968,32.50376717,45.70806047,11.3842,11.946,10.767
12,18,293124482,0,,10.39574621,1800.687741,0.005038438,3.822134742,0.301761082,1.3314199,1.12,6022.1699,35.7562714,44.48893613,11.7308,12.315,11.08
12,18,297777871,0,,10.1429042,1814.635578,0.009791666,5.859402567,0.580397289,0.93184,0.84600002,5063,46.63111398,67.86326394,11.7323,12.458,10.907
12,18,299331512,0,,15.25977865,1801.975644,0.009262794,1.976397727,0.248194133,1.4414001,1.399,6647,15.36797796,52.75637782,11.4172,11.798,10.867
12,18,301092128,0,,19.16551916,1800.980092,0.015032492,6.581111026,1.031209578,1.42106,1.35,6531,35.15749694,53.60593818,11.6636,12.1,11.137
12,18,301103382,0,J,21.55529938,1790.929676,0.028113132,4.809327422,1.868057426,1.16871,1.17,6156,35.21316007,47.96889819,11.7959,12.31,11.191
12,18,301263878,0,J,32.97138878,1814.294547,0.009051413,2.775761749,0.321632803,3.1505499,1.33,6494,35.72819772,49.08237914,11.9339,12.443,11.352
12,18,302628437,0,J,14.63834611,1814.629332,0.008209797,7.941162567,0.956109975,1.4687001,1.5,6909,41.68431255,71.20836726,11.5884,12.189,11.005
12,18,305638738,0,J,14.46921401,1801.682764,0.014019455,4.313500442,0.524146178,1.11093,1.08,5918,315.5707245,63.73218539,11.2592,11.619,10.63
12,18,305857294,0,J,20.43172321,1814.627538,0.014167083,5.73938624,0.684180301,1.5605299,1.3099999,6453,318.0800155,63.78531031,11.9072,12.675,11.129
12,18,307957463,0,J,20.59960105,1814.601251,0.015536783,7.165210678,2.301967957,1.5024,1.03,5750,257.0620226,64.35314564,11.1842,11.889,10.585
12,18,307984280,0,,8.867421339,1814.603335,0.005092569,5.814968459,0.430165155,1.12963,1.071,5899,256.9540847,60.0661171,11.0737,11.439,10.46
12,18,307984446,0,J,11.0292511,1814.613933,0.009907872,5.195840234,0.553700291,1.00731,1.14,6076,257.1376379,60.31812505,11.8832,12.541,11.313
12,18,307985006,0,J,11.06527107,1814.607714,0.007372539,4.639766251,0.395975197,1.17155,0.97000003,5523,257.2497965,61.99477799,11.2292,11.838,10.558
12,18,307986485,0,J,20.1569659,1814.601716,0.008148089,5.800229064,0.542597479,2.03004,1.09,5955,257.5349345,64.68246608,11.7708,12.28,11.222
12,18,308220348,0,Blend,32.84685743,1799.790353,0.017390163,7.23410822,3.864072469,2.26438,0.93400002,5385.2598,22.56113625,53.19509421,11.683,12.55,10.79
12,18,308532942,0,Blend,22.67453869,1810.035726,0.019776167,6.105154545,3.285680918,1.4658,0.99000001,5601,23.68263327,53.26715485,11.4091,12.106,10.679
12,18,308607385,0,,22.95930137,1790.94254,0.01797882,4.97692164,0.691331434,1.55663,1.4400001,6751,23.81696949,48.51660196,11.8791,12.275,11.387
12,18,309234923,1,EB,25.01931184,1810.50493,0.038352549,9.780305343,5.49328187,1.16141,0.99000001,5601,25.58325232,51.94990484,11.2157,11.838,10.507
12,18,312258432,0,,8.710399414,1814.68685,0.005988393,3.89806999,0.327642669,1.02327,0.81300002,4941,10.99198425,59.73048272,11.3907,12.239,10.536
12,18,313425235,0,J,11.30811068,1814.648392,0.006425101,3.280744403,0.262600276,1.2825,1.25,6326,240.6963065,59.49199716,11.7957,12.355,11.286
12,18,315721836,0,J,7.319570701,1801.14395,0.005933847,5.788132053,0.734340466,0.863823,0.96899998,5517,310.4782457,78.36410148,11.4924,11.931,10.848
12,18,317064015,0,J,21.35953752,1801.316564,0.015219096,6.632779114,1.69041215,1.574,1.03,5762,340.7923466,83.64504814,11.7857,12.641,10.953
12,18,317473846,0,,12.9895933,1802.271183,0.02081019,5.149575239,0.713168705,0.81858701,0.95099998,5449,351.0141601,73.02581913,11.7726,12.39,11.062
12,18,317593095,0,Blend,16.11482111,1798.109478,0.00604098,6.222607945,0.948690202,1.88486,1.1,5991,351.6817275,74.75801524,11.8749,12.616,11.136
12,18,320279851,0,,29.34638233,1801.880613,0.005842427,2.204823575,0.191846171,3.49032,2.1700001,8676,7.750990807,55.76269052,11.5031,11.797,11.13
12,18,320598310,0,J,48.71664536,1801.888721,0.06001621,6.685001177,4.663736481,1.8078001,2.04,8284,8.189234944,55.09605444,11.7247,11.664,11.336
12,18,322059572,0,J,14.71351609,1814.609601,0.004998209,6.574964525,0.518464468,1.8919801,1.3200001,6477,324.263234,67.08766769,11.3554,11.787,10.844
12,18,322131183,0,J,9.452354686,1801.692521,0.004271709,4.723576351,0.416243812,1.31476,1.42,6702,324.4719424,70.52515757,11.0041,11.394,10.497
12,18,323144337,0,J,8.027440667,1814.286346,0.005796182,2.520716986,0.225018365,0.958547,0.99400002,5615,322.0617294,74.2659681,11.2058,11.877,10.534
12,18,323301969,0,,29.23078935,1801.705041,0.004218728,5.289751312,0.436490481,4.09126,2.26,8959,332.7244003,66.8472659,11.4343,11.854,10.826
12,18,326200947,0,Variable source,26.07123527,1807.954693,0.020858781,9.704883015,3.81788623,1.64106,1.6,7178,350.2683953,76.35630544,11.4115,11.861,10.916
12,18,326732587,0,,19.40107231,1791.829175,0.010113143,3.069912028,0.315806986,1.75384,1.427,6712,359.5241431,62.68635967,11.7433,12.704,11.08
12,18,326779128,0,,18.77424509,1801.852888,0.011694524,7.071591413,1.004260609,1.5782599,1.41,6672,2.035915845,58.35214941,11.44,11.924,10.823
12,18,326791478,0,,26.00942041,1801.969636,0.005762858,3.257025126,0.27404103,3.1147201,1.3,6443,2.181863651,58.88079904,11.4779,12.269,10.629
12,18,326793817,0,,14.51517142,1814.775926,0.010287054,5.805695588,0.806779937,1.30102,1.044,5809,2.084664467,58.36187721,11.2252,11.843,10.494
12,18,326997857,0,,13.28551792,1801.864021,0.008196357,4.166952996,0.385779287,1.33406,1.035,5773.7402,2.83550322,57.46484293,11.683,12.331,10.96
12,18,327249880,1,EB,34.04205496,1794.865123,0.044256151,8.733596492,4.896742563,1.4710799,1.109,6007,3.484205615,58.33991146,11.7427,12.047,11.013
12,18,327252325,0,,26.16636614,1791.98902,0.026566171,4.790536348,0.872714371,1.45944,0.95200002,5453,3.515486601,59.44133949,11.1882,11.838,10.44
12,18,327293880,0,Blend,29.12144766,1796.137486,0.024212119,9.54410029,5.355711431,1.70139,1.2,6221,24.48071952,45.59489911,11.8063,12.336,11.204
12,18,327440566,0,J,19.37040719,1791.976753,0.010226099,6.460003867,0.696646093,1.74137,1.26,6356,25.17763757,44.80369354,11.2458,11.684,10.699
12,18,327583207,0,J,28.08483409,1791.960267,0.013954561,2.866465796,0.433725038,2.16133,1.6,7171,4.902147289,58.90176114,11.4442,11.978,10.906
12,18,327603345,0,Blend,10.93234502,1793.488942,0.011792798,9.178690861,1.22826246,0.91519201,0.97299999,5531,25.7986297,47.22542295,11.9356,12.519,11.218
12,18,327882843,0,J,26.86255533,1814.802503,0.009907854,4.352618662,0.490188867,2.4533801,1.35,6536,26.60285857,42.29659397,11.9114,12.393,11.416
12,18,327882952,0,,13.05405818,1800.782583,0.009704741,3.078411624,0.372444502,1.20465,1.171,6156,26.63131971,42.15879242,11.2601,11.755,10.708
12,18,329170722,0,Blend,21.56132168,1810.92427,0.0129382,5.322577762,1.104253092,1.72324,1.1,5971,268.3333967,74.03266533,11.4087,11.81,10.83
12,18,331206447,0,J,55.26950451,1791.997068,0.103643327,11.09571502,7.86017683,1.56071,1.267,6364,17.35286992,57.38766655,11.1989,11.705,10.562
12,18,331855080,0,,7.26493034,1801.378146,0.005834476,8.615927606,0.694625766,0.864645,0.92500001,5349,18.66444291,56.95301153,11.8624,12.462,11.076
12,18,331861613,1,EB,29.50188605,1807.285868,0.012064271,5.883465732,1.209495139,2.4417801,1.05,5830.0698,18.78544624,54.04637531,11.6417,12.357,10.834
12,18,331862524,0,J,24.87025183,1801.712568,0.007458856,3.677368442,0.581988655,2.6178899,1.16,6143.2202,18.96578793,54.52583336,11.3215,12.254,10.598
12,18,331929136,0,J,8.751305776,1802.048912,0.005784583,5.020074979,0.426727124,1.04603,1.04,5802,6.409150894,69.30909715,11.7795,12.685,11.134
12,18,332377709,0,Blend,16.79525427,1812.515815,0.03800845,11.2389224,6.221431023,0.78316599,0.73000002,4608,19.71106554,57.46387992,11.859,12.675,10.921
12,18,334598517,0,,26.40489459,1814.507138,0.005813932,8.697428058,0.721905825,3.14816,1.95,8059,331.1645678,63.6973093,11.6609,11.922,11.084
